Position[mm]	Voltage[V]	
0,0	0,023	
0,5	0,016	
1,0	0,014	
1,5	0,019	
2,0	0,021	
2,5	0,022	
3,0	0,019	
3,5	0,019	
4,0	0,016	
4,5	0,017	
5,0	0,016	
5,5	0,013	
6,0	0,024	
6,5	0,020	
7,0	0,019	
7,5	0,016	
8,0	0,014	
8,5	0,014	
9,0	0,017	
9,5	0,020	
10,0	0,020	
10,5	0,016	
11,0	0,019	
11,5	0,010	
12,0	0,016	
12,5	0,019	
13,0	0,017	
13,5	0,022	
14,0	0,014	
14,5	0,019	
15,0	0,017	
15,5	0,024	
16,0	0,019	
16,5	0,019	
17,0	0,019	
17,5	0,016	
18,0	0,017	
18,5	0,022	
19,0	0,017	
19,5	0,017	
20,0	0,014	
20,5	0,019	
21,0	0,017	
21,5	0,016	
22,0	0,021	
22,5	0,024	
23,0	0,019	
23,5	0,019	
24,0	0,017	
24,5	0,017	
25,0	0,019	
25,5	0,016	
26,0	0,022	
26,5	0,022	
27,0	0,020	
27,5	0,027	
28,0	0,027	
28,5	0,022	
29,0	0,019	
29,5	0,016	
30,0	0,014	
30,5	0,020	
31,0	0,017	
31,5	0,014	
32,0	0,019	
32,5	0,014	
33,0	0,019	
33,5	0,020	
34,0	0,014	
34,5	0,017	
35,0	0,016	
35,5	0,017	
36,0	0,017	
36,5	0,017	
37,0	0,017	
37,5	0,020	
38,0	0,017	
38,5	0,013	
39,0	0,022	
39,5	0,020	
40,0	0,019	
40,5	0,021	
41,0	0,019	
41,5	0,016	
42,0	0,019	
42,5	0,021	
43,0	0,024	
43,5	0,025	
44,0	0,025	
44,5	0,028	
45,0	0,027	
45,5	0,035	
46,0	0,043	
46,5	0,049	
47,0	0,052	
47,5	0,054	
48,0	0,057	
48,5	0,058	
49,0	0,050	
49,5	0,047	
50,0	0,050	
50,5	0,047	
51,0	0,052	
51,5	0,055	
52,0	0,055	
52,5	0,052	
53,0	0,047	
53,5	0,054	
54,0	0,063	
54,5	0,063	
55,0	0,062	
55,5	0,057	
56,0	0,046	
56,5	0,035	
57,0	0,025	
57,5	0,028	
58,0	0,027	
58,5	0,024	
59,0	0,016	
59,5	0,016	
60,0	0,019	
60,5	0,022	
61,0	0,019	
61,5	0,018	
62,0	0,016	
62,5	0,019	
63,0	0,022	
63,5	0,019	
64,0	0,017	
64,5	0,013	
65,0	0,019	
65,5	0,024	
66,0	0,022	
66,5	0,019	
67,0	0,019	
67,5	0,016	
68,0	0,022	
68,5	0,021	
69,0	0,020	
69,5	0,019	
70,0	0,020	
70,5	0,011	
71,0	0,014	
71,5	0,020	
72,0	0,022	
72,5	0,018	
73,0	0,017	
73,5	0,020	
74,0	0,022	
74,5	0,017	
75,0	0,024	
75,5	0,013	
76,0	0,017	
76,5	0,017	
77,0	0,013	
77,5	0,016	
78,0	0,014	
78,5	0,019	
79,0	0,017	
79,5	0,022	
80,0	0,019	
80,5	0,021	
81,0	0,019	
81,5	0,022	
82,0	0,014	
82,5	0,017	
83,0	0,016	
83,5	0,019	
84,0	0,019	
84,5	0,019	
85,0	0,016	
85,5	0,017	
86,0	0,017	
86,5	0,017	
87,0	0,018	
87,5	0,019	
88,0	0,013	
88,5	0,019	
89,0	0,017	
89,5	0,020	
90,0	0,017	
90,5	0,028	
91,0	0,017	
91,5	0,019	
92,0	0,014	
92,5	0,020	
93,0	0,021	
93,5	0,019	
94,0	0,017	
94,5	0,016	
95,0	0,017	
95,5	0,013	
96,0	0,025	
96,5	0,017	
97,0	0,020	
97,5	0,019	
98,0	0,017	
98,5	0,020	
99,0	0,019	
99,5	0,020	
100,0	0,016	
100,5	0,000	
