Position[mm]	Voltage[V]	
0,0	0,012	
0,5	0,019	
1,0	0,019	
1,5	0,016	
2,0	0,022	
2,5	0,017	
3,0	0,022	
3,5	0,019	
4,0	0,017	
4,5	0,022	
5,0	0,016	
5,5	0,021	
6,0	0,014	
6,5	0,016	
7,0	0,022	
7,5	0,019	
8,0	0,014	
8,5	0,017	
9,0	0,016	
9,5	0,017	
10,0	0,017	
10,5	0,023	
11,0	0,019	
11,5	0,025	
12,0	0,021	
12,5	0,022	
13,0	0,012	
13,5	0,016	
14,0	0,019	
14,5	0,021	
15,0	0,017	
15,5	0,019	
16,0	0,014	
16,5	0,018	
17,0	0,021	
17,5	0,016	
18,0	0,016	
18,5	0,021	
19,0	0,022	
19,5	0,017	
20,0	0,022	
20,5	0,017	
21,0	0,016	
21,5	0,017	
22,0	0,017	
22,5	0,022	
23,0	0,021	
23,5	0,017	
24,0	0,022	
24,5	0,017	
25,0	0,022	
25,5	0,019	
26,0	0,024	
26,5	0,016	
27,0	0,017	
27,5	0,019	
28,0	0,019	
28,5	0,021	
29,0	0,014	
29,5	0,013	
30,0	0,020	
30,5	0,022	
31,0	0,017	
31,5	0,016	
32,0	0,020	
32,5	0,022	
33,0	0,021	
33,5	0,017	
34,0	0,022	
34,5	0,014	
35,0	0,020	
35,5	0,013	
36,0	0,024	
36,5	0,014	
37,0	0,016	
37,5	0,017	
38,0	0,013	
38,5	0,022	
39,0	0,016	
39,5	0,020	
40,0	0,016	
40,5	0,018	
41,0	0,024	
41,5	0,022	
42,0	0,022	
42,5	0,027	
43,0	0,032	
43,5	0,036	
44,0	0,040	
44,5	0,035	
45,0	0,038	
45,5	0,049	
46,0	0,056	
46,5	0,063	
47,0	0,057	
47,5	0,049	
48,0	0,043	
48,5	0,047	
49,0	0,052	
49,5	0,052	
50,0	0,049	
50,5	0,049	
51,0	0,052	
51,5	0,057	
52,0	0,055	
52,5	0,050	
53,0	0,055	
53,5	0,063	
54,0	0,065	
54,5	0,066	
55,0	0,060	
55,5	0,052	
56,0	0,043	
56,5	0,029	
57,0	0,025	
57,5	0,027	
58,0	0,025	
58,5	0,024	
59,0	0,020	
59,5	0,020	
60,0	0,017	
60,5	0,019	
61,0	0,021	
61,5	0,020	
62,0	0,014	
62,5	0,019	
63,0	0,020	
63,5	0,017	
64,0	0,021	
64,5	0,022	
65,0	0,016	
65,5	0,019	
66,0	0,019	
66,5	0,017	
67,0	0,013	
67,5	0,014	
68,0	0,016	
68,5	0,021	
69,0	0,017	
69,5	0,017	
70,0	0,019	
70,5	0,014	
71,0	0,019	
71,5	0,017	
72,0	0,016	
72,5	0,024	
73,0	0,014	
73,5	0,019	
74,0	0,019	
74,5	0,030	
75,0	0,016	
75,5	0,016	
76,0	0,014	
76,5	0,024	
77,0	0,017	
77,5	0,024	
78,0	0,013	
78,5	0,020	
79,0	0,020	
79,5	0,016	
80,0	0,020	
80,5	0,014	
81,0	0,022	
81,5	0,019	
82,0	0,018	
82,5	0,019	
83,0	0,023	
83,5	0,016	
84,0	0,019	
84,5	0,021	
85,0	0,022	
85,5	0,021	
86,0	0,014	
86,5	0,019	
87,0	0,019	
87,5	0,019	
88,0	0,020	
88,5	0,016	
89,0	0,019	
89,5	0,019	
90,0	0,020	
90,5	0,017	
91,0	0,019	
91,5	0,020	
92,0	0,017	
92,5	0,019	
93,0	0,019	
93,5	0,014	
94,0	0,019	
94,5	0,019	
95,0	0,016	
95,5	0,019	
96,0	0,020	
96,5	0,022	
97,0	0,013	
97,5	0,017	
98,0	0,020	
98,5	0,025	
99,0	0,017	
99,5	0,014	
100,0	0,016	
100,5	0,000	
