Position[mm]	Voltage[V]	
0,0	0,014	
0,5	0,019	
1,0	0,016	
1,5	0,025	
2,0	0,016	
2,5	0,016	
3,0	0,016	
3,5	0,019	
4,0	0,017	
4,5	0,022	
5,0	0,022	
5,5	0,019	
6,0	0,017	
6,5	0,017	
7,0	0,017	
7,5	0,017	
8,0	0,017	
8,5	0,022	
9,0	0,025	
9,5	0,021	
10,0	0,019	
10,5	0,018	
11,0	0,017	
11,5	0,021	
12,0	0,019	
12,5	0,014	
13,0	0,017	
13,5	0,017	
14,0	0,017	
14,5	0,019	
15,0	0,019	
15,5	0,019	
16,0	0,019	
16,5	0,017	
17,0	0,016	
17,5	0,019	
18,0	0,017	
18,5	0,019	
19,0	0,019	
19,5	0,014	
20,0	0,027	
20,5	0,018	
21,0	0,020	
21,5	0,024	
22,0	0,019	
22,5	0,020	
23,0	0,022	
23,5	0,013	
24,0	0,013	
24,5	0,025	
25,0	0,017	
25,5	0,014	
26,0	0,021	
26,5	0,013	
27,0	0,017	
27,5	0,014	
28,0	0,019	
28,5	0,016	
29,0	0,016	
29,5	0,021	
30,0	0,022	
30,5	0,019	
31,0	0,020	
31,5	0,019	
32,0	0,020	
32,5	0,011	
33,0	0,024	
33,5	0,020	
34,0	0,017	
34,5	0,014	
35,0	0,022	
35,5	0,020	
36,0	0,020	
36,5	0,024	
37,0	0,022	
37,5	0,024	
38,0	0,024	
38,5	0,035	
39,0	0,039	
39,5	0,039	
40,0	0,054	
40,5	0,072	
41,0	0,088	
41,5	0,105	
42,0	0,128	
42,5	0,148	
43,0	0,159	
43,5	0,181	
44,0	0,203	
44,5	0,235	
45,0	0,293	
45,5	0,340	
46,0	0,380	
46,5	0,362	
47,0	0,302	
47,5	0,272	
48,0	0,240	
48,5	0,244	
49,0	0,301	
49,5	0,349	
50,0	0,386	
50,5	0,425	
51,0	0,451	
51,5	0,480	
52,0	0,460	
52,5	0,413	
53,0	0,339	
53,5	0,258	
54,0	0,175	
54,5	0,161	
55,0	0,151	
55,5	0,145	
56,0	0,170	
56,5	0,176	
57,0	0,170	
57,5	0,132	
58,0	0,088	
58,5	0,054	
59,0	0,047	
59,5	0,047	
60,0	0,043	
60,5	0,028	
61,0	0,024	
61,5	0,025	
62,0	0,020	
62,5	0,017	
63,0	0,021	
63,5	0,016	
64,0	0,019	
64,5	0,016	
65,0	0,017	
65,5	0,017	
66,0	0,014	
66,5	0,021	
67,0	0,016	
67,5	0,017	
68,0	0,020	
68,5	0,020	
69,0	0,014	
69,5	0,016	
70,0	0,014	
70,5	0,022	
71,0	0,016	
71,5	0,022	
72,0	0,019	
72,5	0,019	
73,0	0,014	
73,5	0,014	
74,0	0,021	
74,5	0,017	
75,0	0,016	
75,5	0,020	
76,0	0,017	
76,5	0,020	
77,0	0,024	
77,5	0,017	
78,0	0,016	
78,5	0,017	
79,0	0,022	
79,5	0,019	
80,0	0,019	
80,5	0,019	
81,0	0,022	
81,5	0,017	
82,0	0,021	
82,5	0,017	
83,0	0,016	
83,5	0,013	
84,0	0,016	
84,5	0,017	
85,0	0,016	
85,5	0,017	
86,0	0,017	
86,5	0,017	
87,0	0,016	
87,5	0,020	
88,0	0,025	
88,5	0,021	
89,0	0,025	
89,5	0,019	
90,0	0,017	
90,5	0,017	
91,0	0,019	
91,5	0,018	
92,0	0,014	
92,5	0,016	
93,0	0,021	
93,5	0,016	
94,0	0,022	
94,5	0,016	
95,0	0,017	
95,5	0,020	
96,0	0,008	
96,5	0,017	
97,0	0,013	
97,5	0,016	
98,0	0,017	
98,5	0,016	
99,0	0,022	
99,5	0,017	
100,0	0,024	
100,5	0,000	
