Position[mm]	Voltage[V]	
0,0	0,024	
0,5	0,017	
1,0	0,017	
1,5	0,017	
2,0	0,019	
2,5	0,017	
3,0	0,020	
3,5	0,013	
4,0	0,019	
4,5	0,020	
5,0	0,014	
5,5	0,019	
6,0	0,019	
6,5	0,027	
7,0	0,020	
7,5	0,018	
8,0	0,019	
8,5	0,020	
9,0	0,014	
9,5	0,019	
10,0	0,017	
10,5	0,017	
11,0	0,030	
11,5	0,019	
12,0	0,014	
12,5	0,017	
13,0	0,014	
13,5	0,014	
14,0	0,014	
14,5	0,014	
15,0	0,019	
15,5	0,019	
16,0	0,019	
16,5	0,017	
17,0	0,022	
17,5	0,014	
18,0	0,020	
18,5	0,017	
19,0	0,022	
19,5	0,022	
20,0	0,019	
20,5	0,019	
21,0	0,020	
21,5	0,019	
22,0	0,016	
22,5	0,014	
23,0	0,014	
23,5	0,017	
24,0	0,019	
24,5	0,019	
25,0	0,017	
25,5	0,024	
26,0	0,017	
26,5	0,021	
27,0	0,017	
27,5	0,014	
28,0	0,016	
28,5	0,016	
29,0	0,017	
29,5	0,014	
30,0	0,016	
30,5	0,021	
31,0	0,019	
31,5	0,016	
32,0	0,019	
32,5	0,013	
33,0	0,020	
33,5	0,021	
34,0	0,017	
34,5	0,019	
35,0	0,020	
35,5	0,027	
36,0	0,028	
36,5	0,028	
37,0	0,038	
37,5	0,050	
38,0	0,047	
38,5	0,050	
39,0	0,064	
39,5	0,082	
40,0	0,099	
40,5	0,121	
41,0	0,147	
41,5	0,177	
42,0	0,206	
42,5	0,233	
43,0	0,260	
43,5	0,273	
44,0	0,254	
44,5	0,212	
45,0	0,182	
45,5	0,219	
46,0	0,294	
46,5	0,340	
47,0	0,384	
47,5	0,422	
48,0	0,471	
48,5	0,495	
49,0	0,472	
49,5	0,411	
50,0	0,334	
50,5	0,255	
51,0	0,253	
51,5	0,291	
52,0	0,316	
52,5	0,335	
53,0	0,353	
53,5	0,348	
54,0	0,323	
54,5	0,268	
55,0	0,195	
55,5	0,120	
56,0	0,071	
56,5	0,072	
57,0	0,079	
57,5	0,081	
58,0	0,065	
58,5	0,044	
59,0	0,032	
59,5	0,036	
60,0	0,032	
60,5	0,020	
61,0	0,024	
61,5	0,024	
62,0	0,021	
62,5	0,019	
63,0	0,019	
63,5	0,014	
64,0	0,017	
64,5	0,016	
65,0	0,016	
65,5	0,016	
66,0	0,025	
66,5	0,014	
67,0	0,025	
67,5	0,014	
68,0	0,017	
68,5	0,017	
69,0	0,020	
69,5	0,020	
70,0	0,016	
70,5	0,024	
71,0	0,017	
71,5	0,020	
72,0	0,019	
72,5	0,016	
73,0	0,016	
73,5	0,013	
74,0	0,017	
74,5	0,019	
75,0	0,011	
75,5	0,017	
76,0	0,025	
76,5	0,022	
77,0	0,017	
77,5	0,017	
78,0	0,016	
78,5	0,014	
79,0	0,016	
79,5	0,014	
80,0	0,016	
80,5	0,017	
81,0	0,017	
81,5	0,019	
82,0	0,020	
82,5	0,022	
83,0	0,017	
83,5	0,017	
84,0	0,019	
84,5	0,019	
85,0	0,014	
85,5	0,016	
86,0	0,014	
86,5	0,016	
87,0	0,025	
87,5	0,019	
88,0	0,016	
88,5	0,019	
89,0	0,020	
89,5	0,017	
90,0	0,016	
90,5	0,017	
91,0	0,017	
91,5	0,025	
92,0	0,019	
92,5	0,019	
93,0	0,016	
93,5	0,019	
94,0	0,019	
94,5	0,017	
95,0	0,014	
95,5	0,014	
96,0	0,020	
96,5	0,020	
97,0	0,020	
97,5	0,016	
98,0	0,019	
98,5	0,014	
99,0	0,016	
99,5	0,013	
100,0	0,019	
100,5	0,000	
