Position[mm]	Voltage[V]	
0,0	0,022	
0,5	0,019	
1,0	0,019	
1,5	0,016	
2,0	0,019	
2,5	0,014	
3,0	0,019	
3,5	0,017	
4,0	0,014	
4,5	0,010	
5,0	0,020	
5,5	0,025	
6,0	0,020	
6,5	0,027	
7,0	0,014	
7,5	0,019	
8,0	0,019	
8,5	0,020	
9,0	0,016	
9,5	0,020	
10,0	0,019	
10,5	0,020	
11,0	0,019	
11,5	0,022	
12,0	0,016	
12,5	0,017	
13,0	0,017	
13,5	0,017	
14,0	0,017	
14,5	0,017	
15,0	0,022	
15,5	0,021	
16,0	0,014	
16,5	0,017	
17,0	0,019	
17,5	0,019	
18,0	0,019	
18,5	0,019	
19,0	0,019	
19,5	0,016	
20,0	0,013	
20,5	0,016	
21,0	0,011	
21,5	0,020	
22,0	0,014	
22,5	0,019	
23,0	0,014	
23,5	0,024	
24,0	0,017	
24,5	0,019	
25,0	0,019	
25,5	0,024	
26,0	0,017	
26,5	0,016	
27,0	0,016	
27,5	0,017	
28,0	0,013	
28,5	0,017	
29,0	0,016	
29,5	0,017	
30,0	0,021	
30,5	0,017	
31,0	0,021	
31,5	0,016	
32,0	0,022	
32,5	0,019	
33,0	0,020	
33,5	0,017	
34,0	0,020	
34,5	0,022	
35,0	0,022	
35,5	0,025	
36,0	0,031	
36,5	0,038	
37,0	0,038	
37,5	0,047	
38,0	0,063	
38,5	0,069	
39,0	0,074	
39,5	0,079	
40,0	0,091	
40,5	0,114	
41,0	0,131	
41,5	0,151	
42,0	0,167	
42,5	0,160	
43,0	0,192	
43,5	0,209	
44,0	0,266	
44,5	0,290	
45,0	0,323	
45,5	0,395	
46,0	0,402	
46,5	0,397	
47,0	0,386	
47,5	0,419	
48,0	0,304	
48,5	0,305	
49,0	0,319	
49,5	0,290	
50,0	0,269	
50,5	0,333	
51,0	0,301	
51,5	0,316	
52,0	0,263	
52,5	0,305	
53,0	0,331	
53,5	0,269	
54,0	0,244	
54,5	0,194	
55,0	0,150	
55,5	0,099	
56,0	0,093	
56,5	0,087	
57,0	0,080	
57,5	0,071	
58,0	0,047	
58,5	0,036	
59,0	0,036	
59,5	0,033	
60,0	0,022	
60,5	0,022	
61,0	0,024	
61,5	0,022	
62,0	0,019	
62,5	0,018	
63,0	0,019	
63,5	0,017	
64,0	0,019	
64,5	0,021	
65,0	0,020	
65,5	0,017	
66,0	0,013	
66,5	0,011	
67,0	0,022	
67,5	0,019	
68,0	0,019	
68,5	0,019	
69,0	0,019	
69,5	0,021	
70,0	0,022	
70,5	0,019	
71,0	0,020	
71,5	0,021	
72,0	0,019	
72,5	0,019	
73,0	0,014	
73,5	0,017	
74,0	0,031	
74,5	0,017	
75,0	0,021	
75,5	0,014	
76,0	0,016	
76,5	0,016	
77,0	0,024	
77,5	0,016	
78,0	0,016	
78,5	0,022	
79,0	0,016	
79,5	0,017	
80,0	0,021	
80,5	0,019	
81,0	0,017	
81,5	0,014	
82,0	0,017	
82,5	0,016	
83,0	0,024	
83,5	0,019	
84,0	0,021	
84,5	0,020	
85,0	0,020	
85,5	0,017	
86,0	0,019	
86,5	0,024	
87,0	0,017	
87,5	0,017	
88,0	0,020	
88,5	0,016	
89,0	0,025	
89,5	0,016	
90,0	0,020	
90,5	0,019	
91,0	0,022	
91,5	0,019	
92,0	0,016	
92,5	0,017	
93,0	0,014	
93,5	0,017	
94,0	0,022	
94,5	0,019	
95,0	0,016	
95,5	0,014	
96,0	0,017	
96,5	0,014	
97,0	0,025	
97,5	0,016	
98,0	0,014	
98,5	0,017	
99,0	0,014	
99,5	0,018	
100,0	0,023	
100,5	0,000	
