Position[mm]	Voltage[V]	
0,0	0,016	
0,5	0,017	
1,0	0,022	
1,5	0,017	
2,0	0,016	
2,5	0,017	
3,0	0,011	
3,5	0,017	
4,0	0,019	
4,5	0,021	
5,0	0,017	
5,5	0,017	
6,0	0,019	
6,5	0,014	
7,0	0,013	
7,5	0,020	
8,0	0,016	
8,5	0,019	
9,0	0,017	
9,5	0,017	
10,0	0,016	
10,5	0,020	
11,0	0,017	
11,5	0,016	
12,0	0,014	
12,5	0,019	
13,0	0,023	
13,5	0,022	
14,0	0,016	
14,5	0,011	
15,0	0,022	
15,5	0,019	
16,0	0,017	
16,5	0,021	
17,0	0,018	
17,5	0,016	
18,0	0,014	
18,5	0,016	
19,0	0,019	
19,5	0,019	
20,0	0,020	
20,5	0,018	
21,0	0,016	
21,5	0,014	
22,0	0,017	
22,5	0,016	
23,0	0,016	
23,5	0,017	
24,0	0,020	
24,5	0,020	
25,0	0,020	
25,5	0,019	
26,0	0,017	
26,5	0,016	
27,0	0,017	
27,5	0,019	
28,0	0,017	
28,5	0,022	
29,0	0,022	
29,5	0,024	
30,0	0,019	
30,5	0,019	
31,0	0,025	
31,5	0,014	
32,0	0,016	
32,5	0,019	
33,0	0,020	
33,5	0,014	
34,0	0,016	
34,5	0,014	
35,0	0,020	
35,5	0,020	
36,0	0,014	
36,5	0,016	
37,0	0,027	
37,5	0,024	
38,0	0,019	
38,5	0,016	
39,0	0,023	
39,5	0,027	
40,0	0,038	
40,5	0,039	
41,0	0,050	
41,5	0,075	
42,0	0,090	
42,5	0,102	
43,0	0,110	
43,5	0,123	
44,0	0,136	
44,5	0,164	
45,0	0,209	
45,5	0,265	
46,0	0,323	
46,5	0,378	
47,0	0,414	
47,5	0,433	
48,0	0,414	
48,5	0,357	
49,0	0,269	
49,5	0,261	
50,0	0,349	
50,5	0,408	
51,0	0,457	
51,5	0,485	
52,0	0,463	
52,5	0,413	
53,0	0,364	
53,5	0,312	
54,0	0,248	
54,5	0,187	
55,0	0,157	
55,5	0,187	
56,0	0,214	
56,5	0,233	
57,0	0,225	
57,5	0,199	
58,0	0,142	
58,5	0,090	
59,0	0,054	
59,5	0,047	
60,0	0,047	
60,5	0,038	
61,0	0,024	
61,5	0,024	
62,0	0,021	
62,5	0,018	
63,0	0,019	
63,5	0,014	
64,0	0,016	
64,5	0,016	
65,0	0,020	
65,5	0,020	
66,0	0,016	
66,5	0,014	
67,0	0,016	
67,5	0,016	
68,0	0,013	
68,5	0,014	
69,0	0,022	
69,5	0,020	
70,0	0,016	
70,5	0,017	
71,0	0,014	
71,5	0,013	
72,0	0,024	
72,5	0,019	
73,0	0,019	
73,5	0,014	
74,0	0,016	
74,5	0,022	
75,0	0,019	
75,5	0,020	
76,0	0,022	
76,5	0,014	
77,0	0,016	
77,5	0,016	
78,0	0,016	
78,5	0,020	
79,0	0,017	
79,5	0,024	
80,0	0,019	
80,5	0,019	
81,0	0,017	
81,5	0,025	
82,0	0,014	
82,5	0,014	
83,0	0,019	
83,5	0,014	
84,0	0,016	
84,5	0,021	
85,0	0,014	
85,5	0,020	
86,0	0,022	
86,5	0,014	
87,0	0,019	
87,5	0,023	
88,0	0,017	
88,5	0,024	
89,0	0,016	
89,5	0,020	
90,0	0,016	
90,5	0,016	
91,0	0,022	
91,5	0,017	
92,0	0,017	
92,5	0,014	
93,0	0,013	
93,5	0,020	
94,0	0,016	
94,5	0,019	
95,0	0,019	
95,5	0,017	
96,0	0,016	
96,5	0,013	
97,0	0,013	
97,5	0,019	
98,0	0,023	
98,5	0,019	
99,0	0,019	
99,5	0,017	
100,0	0,014	
100,5	0,000	
