Position[mm]	Voltage[V]	
199,0	0,227	
199,5	0,211	
200,0	0,225	
200,5	0,224	
201,0	0,216	
201,5	0,227	
202,0	0,213	
202,5	0,222	
203,0	0,216	
203,5	0,230	
204,0	0,216	
204,5	0,220	
205,0	0,220	
205,5	0,216	
206,0	0,227	
206,5	0,213	
207,0	0,220	
207,5	0,220	
208,0	0,216	
208,5	0,227	
209,0	0,211	
209,5	0,220	
210,0	0,219	
210,5	0,216	
211,0	0,218	
211,5	0,219	
212,0	0,217	
212,5	0,211	
213,0	0,219	
213,5	0,206	
214,0	0,224	
214,5	0,216	
215,0	0,209	
215,5	0,217	
216,0	0,208	
216,5	0,219	
217,0	0,213	
217,5	0,214	
218,0	0,214	
218,5	0,222	
219,0	0,206	
219,5	0,216	
220,0	0,214	
220,5	0,206	
221,0	0,213	
221,5	0,208	
222,0	0,216	
222,5	0,211	
223,0	0,205	
223,5	0,213	
224,0	0,202	
224,5	0,209	
225,0	0,209	
225,5	0,205	
226,0	0,211	
226,5	0,201	
227,0	0,215	
227,5	0,203	
228,0	0,208	
228,5	0,202	
229,0	0,206	
229,5	0,206	
230,0	0,205	
230,5	0,208	
231,0	0,203	
231,5	0,211	
232,0	0,200	
232,5	0,206	
233,0	0,208	
233,5	0,202	
234,0	0,208	
234,5	0,198	
235,0	0,205	
235,5	0,198	
236,0	0,208	
236,5	0,197	
237,0	0,198	
237,5	0,200	
238,0	0,198	
238,5	0,200	
239,0	0,195	
239,5	0,205	
240,0	0,192	
240,5	0,198	
241,0	0,203	
241,5	0,195	
242,0	0,203	
242,5	0,191	
243,0	0,202	
243,5	0,197	
244,0	0,202	
244,5	0,195	
245,0	0,195	
245,5	0,195	
246,0	0,194	
246,5	0,195	
247,0	0,191	
247,5	0,197	
248,0	0,197	
248,5	0,194	
249,0	0,194	
249,5	0,187	
250,0	0,198	
250,5	0,192	
251,0	0,193	
251,5	0,192	
252,0	0,197	
252,5	0,189	
253,0	0,191	
253,5	0,195	
254,0	0,191	
254,5	0,194	
255,0	0,186	
255,5	0,191	
256,0	0,191	
256,5	0,184	
257,0	0,190	
257,5	0,186	
258,0	0,191	
258,5	0,187	
259,0	0,183	
259,5	0,191	
260,0	0,184	
260,5	0,191	
261,0	0,184	
261,5	0,186	
262,0	0,183	
262,5	0,192	
263,0	0,184	
263,5	0,183	
264,0	0,186	
264,5	0,181	
265,0	0,191	
265,5	0,189	
266,0	0,181	
266,5	0,186	
267,0	0,181	
267,5	0,187	
268,0	0,181	
268,5	0,191	
269,0	0,179	
269,5	0,187	
270,0	0,183	
270,5	0,184	
271,0	0,183	
271,5	0,181	
272,0	0,187	
272,5	0,180	
273,0	0,186	
273,5	0,181	
274,0	0,186	
274,5	0,180	
275,0	0,186	
275,5	0,183	
276,0	0,185	
276,5	0,183	
277,0	0,181	
277,5	0,180	
278,0	0,179	
278,5	0,186	
279,0	0,183	
279,5	0,179	
280,0	0,184	
280,5	0,181	
281,0	0,184	
281,5	0,181	
282,0	0,187	
282,5	0,180	
283,0	0,180	
283,5	0,184	
284,0	0,178	
284,5	0,180	
285,0	0,179	
285,5	0,180	
286,0	0,181	
286,5	0,178	
287,0	0,176	
287,5	0,183	
288,0	0,176	
288,5	0,180	
289,0	0,176	
289,5	0,175	
290,0	0,176	
290,5	0,176	
291,0	0,162	
291,5	0,055	
292,0	0,017	
292,5	0,019	
293,0	0,016	
293,5	0,020	
294,0	0,020	
294,5	0,022	
295,0	0,018	
295,5	0,019	
296,0	0,017	
296,5	0,017	
297,0	0,017	
297,5	0,024	
298,0	0,017	
298,5	0,019	
299,0	0,021	
299,5	0,019	
300,0	0,017	
0,0	0,000	
